Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Profit,Returns,Payment_Mode,Order_Year,Order_Quarter,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Shipping_Days,Sales_Per_Unit,Profit_Per_Unit,Profit_Margin,Customer_Order_Count,Customer_Total_Sales,Customer_Total_Profit,Product_Order_Count,Product_Total_Sales,Product_Total_Profit,Product_Total_Quantity,Product_Profit_Margin,Region_Total_Sales,Region_Total_Profit,State_Total_Sales,State_Total_Profit,City_Total_Sales,City_Total_Profit,Segment_Total_Sales,Segment_Total_Profit,Category_Total_Sales,Category_Total_Profit,SubCategory_Total_Sales,SubCategory_Total_Profit,ShipMode_Order_Count,PaymentMode_Order_Count,Return_Flag
4918,CA-2019-160304,2019-01-01,2019-07-01,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,No,Online,2019.0,1.0,1.0,January,1.0,Tuesday,181.0,73.94,28.2668,38.22937516905599,5,1118.886,86.516,7,1444.5238,1.0161999999999978,27,0.0703484428570853,450234.666,53400.4243,16090.103,3860.6173,479.86,133.8078,509743.1262,57805.7991,451508.6452,10006.6112,57577.6862,-342.88830000000013,1773,1562,0
4919,CA-2019-160304,2019-02-01,2019-07-01,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,No,Online,2019.0,1.0,2.0,February,1.0,Friday,150.0,57.98,12.7556,22.000000000000004,5,1118.886,86.516,7,1444.5238,1.0161999999999978,27,0.0703484428570853,450234.666,53400.4243,16090.103,3860.6173,479.86,133.8078,509743.1262,57805.7991,451508.6452,10006.6112,57577.6862,-342.88830000000013,1773,1562,0
4920,CA-2019-160304,2019-02-01,2019-07-01,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,TEC-PH-10000455,Technology,Phones,GE 30522EE2,231.98,2,67.2742,No,Cards,2019.0,1.0,2.0,February,1.0,Friday,150.0,115.99,33.6371,29.0,5,1118.886,86.516,2,599.95,168.1855,5,28.03325277106425,450234.666,53400.4243,16090.103,3860.6173,479.86,133.8078,509743.1262,57805.7991,470587.991,90458.2486,196563.546,22308.9179,1773,985,0
3074,CA-2019-125206,2019-03-01,2019-05-01,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,28.615,No,Online,2019.0,1.0,3.0,March,1.0,Friday,61.0,57.23,14.3075,25.0,4,2668.932,-99.8899,3,728.53,114.46,12,15.711089454106212,522441.052,67859.9582,335190.256,49372.175,120017.4405,19174.9301,753002.1291,81338.5875,643707.687,74797.2461,150341.318,13607.0875,499,1562,0
8604,US-2019-116365,2019-03-01,2019-08-01,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,-5.264,No,Online,2019.0,1.0,3.0,March,1.0,Friday,153.0,15.04,-2.632,-17.5,3,2478.724,145.0254,4,345.6,1.5039999999999996,18,0.435185185185185,341007.5242,27450.0071,116261.9302,-14078.1598,6085.871,-23.198200000000003,509743.1262,57805.7991,470587.991,90458.2486,122301.086,25336.6455,1773,1562,0
8605,US-2019-116365,2019-03-01,2019-08-01,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,-6.21,No,Online,2019.0,1.0,3.0,March,1.0,Friday,153.0,55.2,-2.07,-3.75,3,2478.724,145.0254,5,798.4,-24.84,12,-3.1112224448897794,341007.5242,27450.0071,116261.9302,-14078.1598,6085.871,-23.198200000000003,509743.1262,57805.7991,470587.991,90458.2486,122301.086,25336.6455,1773,1562,0
8606,US-2019-116365,2019-03-01,2019-08-01,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.572,No,Cards,2019.0,1.0,3.0,March,1.0,Friday,153.0,36.192,2.7144,7.5,3,2478.724,145.0254,6,877.264,46.1448,17,5.260081343814405,341007.5242,27450.0071,116261.9302,-14078.1598,6085.871,-23.198200000000003,509743.1262,57805.7991,470587.991,90458.2486,196563.546,22308.9179,1773,985,0
9494,CA-2019-105207,2019-03-01,2019-08-01,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,350.427,No,COD,2019.0,1.0,3.0,March,1.0,Friday,153.0,227.55,50.061,22.000000000000004,5,3482.728,278.77700000000004,3,3165.68,609.8340000000001,14,19.263918020772792,341007.5242,27450.0071,17653.7,3431.8469,1617.59,361.8182000000001,509743.1262,57805.7991,451508.6452,10006.6112,119293.743,-11091.6365,1773,1717,0
9495,CA-2019-105207,2019-03-01,2019-08-01,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,5.346,No,COD,2019.0,1.0,3.0,March,1.0,Friday,153.0,5.94,2.673,44.99999999999999,5,3482.728,278.77700000000004,9,598.1899999999999,-11.286,28,-1.886691519416908,341007.5242,27450.0071,17653.7,3431.8469,1617.59,361.8182000000001,509743.1262,57805.7991,643707.687,74797.2461,174978.38999999998,17885.3759,1773,1717,0
2898,US-2019-164630,2019-04-01,2019-09-01,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,South,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,119.996,No,Online,2019.0,2.0,4.0,April,1.0,Monday,153.0,239.992,29.999,12.5,4,2401.255,162.8781,5,3847.876,779.9739999999999,14,20.270247793847822,252121.081,26551.7163,39705.125,-4827.692300000001,11168.802,322.6946,509743.1262,57805.7991,470587.991,90458.2486,59735.798,42774.5828,1773,1562,0
5868,CA-2019-158211,2019-04-01,2019-08-01,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,4.672,1,0.584,No,Online,2019.0,2.0,4.0,April,1.0,Monday,122.0,4.672,0.584,12.5,7,4370.428,296.839,7,552.656,22.192,28,4.015517790451927,450234.666,53400.4243,82354.95,-9297.7975,77305.44,-8065.9684,509743.1262,57805.7991,643707.687,74797.2461,50762.976,3635.9257,1773,1562,0
5869,CA-2019-158211,2019-04-01,2019-08-01,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,104.58,6,-80.178,No,Online,2019.0,2.0,4.0,April,1.0,Monday,122.0,17.43,-13.363,-76.66666666666666,7,4370.428,296.839,9,1600.946,343.4466,43,21.452728574230488,450234.666,53400.4243,82354.95,-9297.7975,77305.44,-8065.9684,509743.1262,57805.7991,643707.687,74797.2461,174978.38999999998,17885.3759,1773,1562,0
